Bond,Sector,Country,Used_Duration,Used_Rating_Score,Used_ZTW
Bond-1199,Ovy_naq_Gnf,XM,14.58,9.0,337.9
Bond-1200,Ovy_naq_Gnf,XM,3.16,14.0,711.8
Bond-1201,Rrny_Efgngr,XM,2.92,16.0,1737.9
Bond-1202,Rrny_Efgngr,XM,2.47,16.0,1408.1
Bond-1203,Rrny_Efgngr,XM,4.51,16.0,1117.1
Bond-1204,Rrny_Efgngr,XM,3.41,16.0,1134.0
Bond-1205,Sbirervta,XM,2.05,9.0,75.0
Bond-1206,Sbirervta,XM,1.46,9.0,65.1
Bond-1207,Sbirervta,XM,2.31,9.0,85.7
Bond-1208,Sbirervta,XM,3.65,9.0,95.1
Bond-1209,Sbirervta,XM,4.21,9.0,110.0
Bond-1210,Sbirervta,XM,4.93,9.0,128.7
Bond-1211,Sbirervta,XM,5.75,9.0,160.3
Bond-1212,Sbirervta,XM,6.39,9.0,176.5
Bond-1213,Sbirervta,XM,3.62,9.0,95.4
Bond-1214,Sbirervta,XM,7.08,9.0,180.4
Bond-1215,Sbirervta,XM,1.5,9.0,77.4
Bond-1216,Sbirervta,XM,1.24,9.0,57.1
Bond-1217,Sbirervta,XM,2.41,9.0,85.4
Bond-1218,Sbirervta,XM,2.19,9.0,79.9
Bond-1219,Sbirervta,XM,2.78,9.0,82.3
Bond-1220,Sbirervta,XM,3.01,9.0,87.4
Bond-1221,Sbirervta,XM,3.13,9.0,86.4
Bond-1222,Sbirervta,XM,3.94,9.0,99.8
Bond-1223,Sbirervta,XM,4.69,9.0,116.5
Bond-1224,Sbirervta,XM,5.51,9.0,141.7
Bond-1225,Sbirervta,XM,6.0,9.0,138.8
Bond-1226,Sbirervta,XM,6.42,9.0,157.5
Bond-1227,Sbirervta,XM,6.48,9.0,155.7
Bond-1228,Sbirervta,XM,7.01,9.0,169.8
Bond-1229,Sbirervta,XM,7.77,9.0,158.9
Bond-1230,Sbirervta,XM,9.72,9.0,253.0
Bond-1231,Sbirervta,XM,11.02,9.0,249.4
Bond-1232,Sbirervta,XM,11.02,9.0,261.6
Bond-1233,Sbirervta,XM,13.69,9.0,249.2
Bond-1234,Sbirervta,XM,14.4,9.0,251.6
Bond-1235,Sbirervta,XM,13.72,9.0,260.9
Bond-1236,Sbirervta,XM,14.92,9.0,252.9
Bond-1237,Sbirervta,XM,14.82,9.0,254.9
Bond-1238,Sbirervta,XM,15.59,9.0,249.8
Bond-1239,Sbirervta,XM,16.14,9.0,246.2
Bond-1240,Sbirervta,XM,16.61,9.0,244.2
Bond-1241,Sbirervta,XM,16.3,9.0,250.3
Bond-1242,TMT,XM,0.35,12.0,275.9
Bond-1243,Tenafcbeg,XM,4.13,10.0,191.6
Bond-1244,Tenafcbeg,XM,14.1,10.0,336.7
Bond-1245,Ugvyvgvrf,XM,3.56,12.0,383.8
Bond-1246,Ugvyvgvrf,XM,6.62,10.0,368.6
Bond-1247,Ugvyvgvrf,XM,5.58,10.0,363.4
Bond-1248,Ugvyvgvrf,XM,9.7,10.0,445.9
Bond-1249,Ugvyvgvrf,XM,9.7,10.0,445.9
Bond-1250,Ugvyvgvrf,XM,3.27,10.0,205.9
Bond-1251,Ugvyvgvrf,XM,1.09,9.0,91.3
Bond-1252,Ugvyvgvrf,XM,5.74,9.0,223.5
Bond-1253,Ugvyvgvrf,XM,6.27,9.0,236.1
Bond-1254,Ugvyvgvrf,XM,6.8,9.0,237.4
Bond-1255,Ugvyvgvrf,XM,8.16,9.0,225.6
Bond-1256,Ugvyvgvrf,XM,7.96,9.0,227.6
Bond-1257,Ugvyvgvrf,XM,7.42,9.0,232.2
Bond-1258,Ugvyvgvrf,XM,17.0,9.0,295.8
Bond-1259,Ugvyvgvrf,XM,13.4,9.0,322.7
Bond-1260,Ugvyvgvrf,XM,16.64,9.0,308.0
Bond-1261,Ugvyvgvrf,XM,14.89,9.0,328.3
Bond-1262,Ugvyvgvrf,XM,15.96,9.0,319.8
Bond-1263,Ugvyvgvrf,XM,14.66,9.0,335.5
Bond-1264,Ugvyvgvrf,XM,14.95,9.0,332.8
Bond-1265,Ugvyvgvrf,XM,4.06,13.0,413.3
Bond-1266,TMT,XH,2.62,15.0,547.8
Bond-1267,Cbafhzre,XY,2.64,13.0,439.3
Bond-1268,Cbafhzre,XY,2.09,13.0,429.1
Bond-1269,Cbafhzre,XY,5.33,13.0,508.9
Bond-1270,Cbafhzre,XY,1.06,13.0,348.6
Bond-1271,Cbafhzre,XY,1.06,13.0,350.5
Bond-1272,Cbafhzre,XY,14.8,13.0,432.2
Bond-1273,Cbafhzre,XY,9.75,13.0,529.2
Bond-1274,Cbafhzre,XY,2.88,13.0,500.3
Bond-1275,Cbafhzre,XY,5.63,13.0,548.3
Bond-1276,Fvanapvny,XY,4.82,9.0,271.8
Bond-1277,Iaqhfgevny,XY,11.04,10.0,324.3
Bond-1278,Ovy_naq_Gnf,XY,2.93,10.0,434.2
Bond-1279,Ovy_naq_Gnf,XY,4.47,10.0,468.7
Bond-1280,Sbirervta,XY,1.69,5.0,16.3
Bond-1281,Sbirervta,XY,2.63,5.0,22.4
Bond-1282,Sbirervta,XY,5.08,5.0,54.0
Bond-1283,Sbirervta,XY,6.53,5.0,71.4
Bond-1284,Sbirervta,XY,15.12,5.0,166.5
Bond-1285,Sbirervta,XY,17.55,5.0,168.6
Bond-1286,TMT,XY,5.74,17.0,671.8
Bond-1287,Ugvyvgvrf,XY,6.74,9.0,173.0
Bond-1288,Ugvyvgvrf,XY,3.7,9.0,137.0
Bond-1289,Ugvyvgvrf,XY,2.48,9.0,111.5
Bond-1290,Ugvyvgvrf,XY,5.73,9.0,199.4
Bond-1291,Fvanapvny,XS,1.78,11.0,238.0
Bond-1292,Fvanapvny,XS,3.21,11.0,254.3
Bond-1293,Fvanapvny,XS,1.44,11.0,190.5
Bond-1294,Fvanapvny,XS,3.25,11.0,289.1
Bond-1295,Fvanapvny,XS,1.79,11.0,194.6
Bond-1296,Fvanapvny,XS,2.17,10.0,147.4
Bond-1297,Fvanapvny,XS,5.28,10.0,200.3
Bond-1298,Fvanapvny,XS,6.34,10.0,255.9
Bond-1299,Fvanapvny,XS,3.23,10.0,174.5
Bond-1300,Fvanapvny,XS,1.87,11.0,177.3
Bond-1301,Fvanapvny,XS,4.9,10.0,243.7
Bond-1302,Fvanapvny,XS,6.22,10.0,266.5
Bond-1303,Fvanapvny,XS,1.43,16.0,1679.4
Bond-1304,Fvanapvny,XS,1.45,11.0,369.4
Bond-1305,Fvanapvny,XS,7.45,10.0,362.1
Bond-1306,Fvanapvny,XS,7.8,10.0,362.2
Bond-1307,Fvanapvny,XS,3.69,10.0,252.1
Bond-1308,Fvanapvny,XS,3.42,10.0,260.7
Bond-1309,Fvanapvny,XS,6.16,10.0,340.6
Bond-1310,Fvanapvny,XS,7.07,10.0,369.5
Bond-1311,Fvanapvny,XS,6.41,10.0,370.1
Bond-1312,Fvanapvny,XS,6.41,10.0,372.0
Bond-1313,Fvanapvny,XS,2.83,10.0,231.8
Bond-1314,Fvanapvny,XS,3.54,10.0,267.4
Bond-1315,Fvanapvny,XS,5.85,10.0,339.6
Bond-1316,Fvanapvny,XS,6.29,10.0,360.0
Bond-1317,Fvanapvny,XS,1.28,10.0,155.3
Bond-1318,Fvanapvny,XS,1.27,10.0,152.6
Bond-1319,Fvanapvny,XS,2.81,10.0,171.7
Bond-1320,Fvanapvny,XS,3.07,10.0,191.9
Bond-1321,Fvanapvny,XS,3.21,10.0,193.8
Bond-1322,Fvanapvny,XS,1.3,13.0,850.3
Bond-1323,Fvanapvny,XS,1.84,13.0,848.6
Bond-1324,Fvanapvny,XS,2.18,16.0,591.1
Bond-1325,Mrgnyf_naq_Mvavat,XS,1.42,13.0,454.9
Bond-1326,Mrgnyf_naq_Mvavat,XS,3.09,13.0,485.6
Bond-1327,Mrgnyf_naq_Mvavat,XS,3.37,14.0,476.2
Bond-1328,Mrgnyf_naq_Mvavat,XS,2.59,14.0,450.4
Bond-1329,Mrgnyf_naq_Mvavat,XS,5.87,14.0,544.4
Bond-1330,Mrgnyf_naq_Mvavat,XS,6.28,10.0,349.2
Bond-1331,Mrgnyf_naq_Mvavat,XS,3.76,16.0,1569.4
Bond-1332,Mrgnyf_naq_Mvavat,XS,3.1,16.0,1668.2
Bond-1333,Mrgnyf_naq_Mvavat,XS,1.57,16.0,1898.3
Bond-1334,Mrgnyf_naq_Mvavat,XS,2.17,16.0,1812.6
Bond-1335,Mrgnyf_naq_Mvavat,XS,2.05,16.0,1833.2
Bond-1336,Ovy_naq_Gnf,XS,4.14,10.0,250.9
Bond-1337,Ovy_naq_Gnf,XS,5.45,10.0,303.5
Bond-1338,Ovy_naq_Gnf,XS,1.27,10.0,181.3
Bond-1339,Ovy_naq_Gnf,XS,1.94,10.0,197.1
Bond-1340,Ovy_naq_Gnf,XS,5.39,13.0,459.4
Bond-1341,Ovy_naq_Gnf,XS,5.85,10.0,327.2
Bond-1342,Ovy_naq_Gnf,XS,3.02,10.0,235.0
Bond-1343,Ovy_naq_Gnf,XS,2.61,10.0,200.1
Bond-1344,Ovy_naq_Gnf,XS,3.17,10.0,235.6
Bond-1345,Ovy_naq_Gnf,XS,5.63,10.0,332.5
Bond-1346,Ovy_naq_Gnf,XS,6.76,10.0,349.9
Bond-1347,Ovy_naq_Gnf,XS,2.44,10.0,196.5
Bond-1348,Ovy_naq_Gnf,XS,1.29,10.0,186.0
Bond-1349,Ovy_naq_Gnf,XS,5.19,10.0,253.3
Bond-1350,Ovy_naq_Gnf,XS,3.45,10.0,223.1
Bond-1351,Ovy_naq_Gnf,XS,6.27,9.0,165.5
Bond-1352,Ovy_naq_Gnf,XS,3.96,9.0,144.7
Bond-1353,Ovy_naq_Gnf,XS,15.23,9.0,242.0
Bond-1354,TMT,XS,4.24,10.0,905.1
Bond-1355,TMT,XS,2.3,11.0,222.6
Bond-1356,TMT,XS,3.26,11.0,268.8
Bond-1357,TMT,XS,4.19,11.0,269.7
Bond-1358,TMT,XS,3.66,12.0,539.9
Bond-1359,Tenafcbeg,XS,1.25,10.0,203.3
Bond-1360,Tenafcbeg,XS,5.89,10.0,351.7
Bond-1361,Tenafcbeg,XS,3.54,10.0,257.4
Bond-1362,Tenafcbeg,XS,7.15,10.0,364.6
Bond-1363,Tenafcbeg,XS,6.43,13.0,590.4
Bond-1364,Tenafcbeg,XS,4.9,13.0,551.1
Bond-1365,Tenafcbeg,XS,5.82,12.0,567.4
Bond-1366,Tenafcbeg,XS,3.08,12.0,565.3
Bond-1367,Tenafcbeg,XS,3.28,10.0,184.5
Bond-1368,Tenafcbeg,XS,6.24,10.0,220.4
Bond-1369,Ugvyvgvrf,XS,3.63,11.0,391.3
Bond-1370,Ugvyvgvrf,XS,5.16,10.0,288.0
Bond-1371,Ugvyvgvrf,XS,1.7,13.0,391.3
Bond-1372,Ugvyvgvrf,XS,2.57,12.0,421.8
Bond-1373,Ugvyvgvrf,XS,1.76,13.0,461.5
Bond-1374,Ugvyvgvrf,XS,2.15,12.0,441.6
Bond-1375,Ugvyvgvrf,XS,4.13,12.0,469.5
Bond-1376,Ugvyvgvrf,XS,1.76,11.0,449.0
Bond-1377,Ugvyvgvrf,XS,1.28,13.0,555.2
Bond-1378,Ugvyvgvrf,XS,3.22,10.0,227.5
Bond-1379,Ugvyvgvrf,XS,6.35,10.0,291.4
Bond-1380,Ugvyvgvrf,XS,4.81,10.0,251.2
Bond-1381,Ugvyvgvrf,XS,1.87,10.0,180.1
Bond-1382,Ugvyvgvrf,XS,3.75,10.0,228.4
Bond-1383,Ugvyvgvrf,XS,2.18,10.0,196.4
Bond-1384,Ugvyvgvrf,XS,1.62,13.0,500.8
Bond-1385,Ugvyvgvrf,XS,2.85,13.0,517.9
Bond-1386,Sbirervta,XF,2.18,17.0,852.1
Bond-1387,Ugvyvgvrf,XK,1.6,8.0,50.4
Bond-1388,Ugvyvgvrf,XK,5.89,8.0,130.9
Bond-1389,Ugvyvgvrf,XK,2.79,8.0,76.3
Bond-1390,Ugvyvgvrf,XK,16.08,8.0,238.1
Bond-1391,Ugvyvgvrf,XK,4.48,8.0,97.0
Bond-1392,Ugvyvgvrf,XK,7.22,8.0,134.5
Bond-1393,Sbirervta,RD,3.27,15.0,295.3
Bond-1394,Sbirervta,RD,5.25,15.0,380.5
Bond-1395,Sbirervta,RD,10.34,15.0,449.7
Bond-1396,Sbirervta,RD,12.17,15.0,488.6
Bond-1397,Sbirervta,RC,4.47,14.0,517.9
Bond-1398,Sbirervta,RC,5.2,14.0,524.3
Bond-1399,Sbirervta,RC,11.21,14.0,649.5
Bond-1400,Sbirervta,TH,3.2,14.0,603.9
Bond-1401,Sbirervta,TH,4.45,15.0,698.5
Bond-1402,Sbirervta,TH,5.6,15.0,699.9
Bond-1403,Sbirervta,TH,6.84,15.0,753.4
Bond-1404,Sbirervta,TH,10.44,15.0,772.8
Bond-1405,Fvanapvny,TJ,2.4,5.0,52.1
Bond-1406,Fvanapvny,TJ,1.03,5.0,45.3
Bond-1407,Fvanapvny,TJ,3.42,10.0,271.8
Bond-1408,Fvanapvny,TJ,7.02,8.0,176.7
Bond-1409,Fvanapvny,TJ,2.72,7.0,71.2
Bond-1410,Fvanapvny,TJ,1.54,9.0,162.9
Bond-1411,Fvanapvny,TJ,3.34,9.0,192.5
Bond-1412,Fvanapvny,TJ,1.06,9.0,155.2
Bond-1413,Fvanapvny,TJ,1.04,4.0,32.3
Bond-1414,Fvanapvny,TJ,1.45,4.0,44.1
Bond-1415,Fvanapvny,TJ,2.0,4.0,36.6
Bond-1416,Fvanapvny,TJ,1.29,4.0,41.2
Bond-1417,Fvanapvny,TJ,3.56,4.0,52.0
Bond-1418,Fvanapvny,TJ,3.08,4.0,54.7
Bond-1419,Fvanapvny,TJ,4.05,4.0,51.5
Bond-1420,Fvanapvny,TJ,4.7,4.0,48.4
Bond-1421,Fvanapvny,TJ,5.37,4.0,50.4
Bond-1422,Fvanapvny,TJ,5.24,4.0,52.6
Bond-1423,Fvanapvny,TJ,6.03,4.0,83.7
Bond-1424,Fvanapvny,TJ,1.12,4.0,35.6
Bond-1425,Fvanapvny,TJ,2.97,4.0,39.1
Bond-1426,Fvanapvny,TJ,2.36,8.0,315.2
Bond-1427,Fvanapvny,TJ,1.95,10.0,409.3
Bond-1428,Fvanapvny,TJ,2.32,8.0,99.9
Bond-1429,Fvanapvny,TJ,1.4,8.0,79.7
Bond-1430,Fvanapvny,TJ,1.86,8.0,83.4
Bond-1431,Fvanapvny,TJ,6.13,8.0,166.0
Bond-1432,Fvanapvny,TJ,1.75,11.0,254.3
Bond-1433,Fvanapvny,TJ,5.61,4.0,51.0
Bond-1434,Fvanapvny,TJ,1.09,4.0,33.9
Bond-1435,Fvanapvny,TJ,1.9,4.0,41.0
Bond-1436,Fvanapvny,TJ,2.39,4.0,41.5
Bond-1437,Fvanapvny,TJ,3.12,4.0,55.0
Bond-1438,Fvanapvny,TJ,4.6,4.0,50.4
Bond-1439,Fvanapvny,TJ,1.38,4.0,36.8
Bond-1440,Fvanapvny,TJ,4.89,4.0,54.7
Bond-1441,Fvanapvny,TJ,1.44,4.0,38.6
Bond-1442,Fvanapvny,TJ,3.21,4.0,53.3
Bond-1443,Fvanapvny,TJ,2.36,4.0,40.1
Bond-1444,Fvanapvny,TJ,1.03,6.0,43.1
Bond-1445,Fvanapvny,TJ,3.15,6.0,68.6
Bond-1446,Fvanapvny,TJ,1.3,6.0,48.5
Bond-1447,Fvanapvny,TJ,3.67,9.0,134.4
Bond-1448,Fvanapvny,TJ,3.69,9.0,133.9
Bond-1449,Fvanapvny,TJ,1.01,2.0,37.5
Bond-1450,Fvanapvny,TJ,2.0,2.0,42.9
Bond-1451,Fvanapvny,TJ,1.73,7.0,244.3
Bond-1452,Fvanapvny,TJ,1.74,6.0,45.2
Bond-1453,Fvanapvny,TJ,2.69,5.0,54.9
Bond-1454,Fvanapvny,TJ,4.02,9.0,182.4
Bond-1455,Fvanapvny,TJ,2.63,10.0,277.0
Bond-1456,Fvanapvny,TJ,4.0,5.0,90.9
Bond-1457,Fvanapvny,TJ,1.46,5.0,48.8
Bond-1458,Fvanapvny,TJ,7.22,8.0,178.0
Bond-1459,Fvanapvny,TJ,6.16,8.0,181.9
Bond-1460,Fvanapvny,TJ,4.97,8.0,145.3
Bond-1461,Fvanapvny,TJ,2.9,5.0,51.2
Bond-1462,Fvanapvny,TJ,1.14,8.0,138.2
Bond-1463,Fvanapvny,TJ,6.44,8.0,180.5
Bond-1464,Fvanapvny,TJ,5.56,4.0,65.7
Bond-1465,Fvanapvny,TJ,3.14,6.0,68.1
Bond-1466,Fvanapvny,TJ,3.26,9.0,151.0
Bond-1467,Fvanapvny,TJ,1.53,11.0,240.2
Bond-1468,Fvanapvny,TJ,6.56,9.0,193.2
Bond-1469,Iaqhfgevny,TJ,2.23,9.0,103.8
Bond-1470,Iaqhfgevny,TJ,5.51,8.0,172.0
Bond-1471,Iaqhfgevny,TJ,1.46,8.0,87.2
Bond-1472,Iaqhfgevny,TJ,3.47,8.0,144.2
Bond-1473,Iaqhfgevny,TJ,1.3,8.0,84.8
Bond-1474,Iaqhfgevny,TJ,1.66,8.0,88.5
Bond-1475,Iaqhfgevny,TJ,1.91,8.0,88.6
Bond-1476,Iaqhfgevny,TJ,3.1,8.0,141.8
Bond-1477,Iaqhfgevny,TJ,2.53,8.0,105.3
Bond-1478,Iaqhfgevny,TJ,2.44,8.0,93.2
Bond-1479,Iaqhfgevny,TJ,5.04,8.0,131.4
Bond-1480,Iaqhfgevny,TJ,6.2,8.0,174.8
Bond-1481,Iaqhfgevny,TJ,1.03,3.0,100.6
Bond-1482,Iaqhfgevny,TJ,1.09,3.0,66.6
Bond-1483,Iasenfgehpgher,TJ,1.03,3.0,36.2
Bond-1484,Mrgnyf_naq_Mvavat,TJ,1.51,6.0,80.2
Bond-1485,Mrgnyf_naq_Mvavat,TJ,3.31,6.0,112.3
Bond-1486,Mrgnyf_naq_Mvavat,TJ,2.39,6.0,91.0
Bond-1487,Mrgnyf_naq_Mvavat,TJ,1.6,3.0,36.3
Bond-1488,Mrgnyf_naq_Mvavat,TJ,2.48,3.0,46.1
Bond-1489,Mrgnyf_naq_Mvavat,TJ,3.75,8.0,99.6
Bond-1490,Mrgnyf_naq_Mvavat,TJ,7.3,8.0,160.6
Bond-1491,Mrgnyf_naq_Mvavat,TJ,2.68,8.0,104.7
Bond-1492,Mrgnyf_naq_Mvavat,TJ,3.58,8.0,115.5
Bond-1493,Mrgnyf_naq_Mvavat,TJ,3.1,9.0,133.7
Bond-1494,Ovy_naq_Gnf,TJ,3.45,9.0,116.5
Bond-1495,Ovy_naq_Gnf,TJ,1.64,9.0,83.4
Bond-1496,Ovy_naq_Gnf,TJ,2.59,9.0,96.8
Bond-1497,Ovy_naq_Gnf,TJ,1.04,4.0,7.9
Bond-1498,Ovy_naq_Gnf,TJ,1.46,4.0,46.4
Bond-1499,Ovy_naq_Gnf,TJ,3.55,4.0,67.4
Bond-1500,Ovy_naq_Gnf,TJ,4.65,4.0,65.9
Bond-1501,Ovy_naq_Gnf,TJ,5.12,4.0,76.4
Bond-1502,Ovy_naq_Gnf,TJ,5.59,4.0,73.7
Bond-1503,Ovy_naq_Gnf,TJ,1.92,3.0,46.1
Bond-1504,Ovy_naq_Gnf,TJ,5.87,4.0,114.5
Bond-1505,Ovy_naq_Gnf,TJ,2.44,3.0,52.0
Bond-1506,Ovy_naq_Gnf,TJ,3.11,4.0,68.6
Bond-1507,Ovy_naq_Gnf,TJ,2.62,10.0,152.3
Bond-1508,Sbirervta,TJ,3.57,4.0,38.9
Bond-1509,Sbirervta,TJ,7.85,4.0,50.2
Bond-1510,Sbirervta,TJ,2.8,4.0,30.7
Bond-1511,Sbirervta,TJ,4.47,4.0,39.3
Bond-1512,Sbirervta,TJ,5.79,4.0,63.0
Bond-1513,Sbirervta,TJ,7.07,4.0,56.5
Bond-1514,Sbirervta,TJ,18.83,4.0,100.6
Bond-1515,Sbirervta,TJ,16.41,4.0,101.6
Bond-1516,TMT,TJ,2.72,7.0,88.5
Bond-1517,TMT,TJ,5.39,7.0,80.6
Bond-1518,TMT,TJ,1.8,7.0,59.4
Bond-1519,TMT,TJ,2.4,7.0,59.6
Bond-1520,TMT,TJ,5.66,7.0,119.7
Bond-1521,Tenafcbeg,TJ,1.88,3.0,80.2
Bond-1522,Ugvyvgvrf,TJ,1.67,3.0,40.7
Bond-1523,Ugvyvgvrf,TJ,2.66,3.0,49.7
Bond-1524,Ugvyvgvrf,TJ,1.92,4.0,33.8
Bond-1525,Ugvyvgvrf,TJ,4.36,4.0,68.1
Bond-1526,Ugvyvgvrf,TJ,6.15,3.0,95.5
Bond-1527,Ugvyvgvrf,TJ,2.68,4.0,48.7
Bond-1528,Ugvyvgvrf,TJ,1.28,3.0,43.3
Bond-1529,Ugvyvgvrf,TJ,3.55,4.0,63.3
Bond-1530,Ugvyvgvrf,TJ,5.43,4.0,61.3
Bond-1531,Ugvyvgvrf,TJ,1.76,4.0,41.1
Bond-1532,Ugvyvgvrf,TJ,7.78,4.0,95.2
Bond-1533,Ugvyvgvrf,TJ,5.23,4.0,60.8
Bond-1534,Ugvyvgvrf,TJ,4.44,4.0,63.2
Bond-1535,Ugvyvgvrf,TJ,6.14,4.0,93.1
Bond-1536,Ugvyvgvrf,TJ,3.17,4.0,58.1
Bond-1537,Ugvyvgvrf,TJ,13.72,4.0,170.5
Bond-1538,Ugvyvgvrf,TJ,1.77,3.0,41.0
Bond-1539,Ugvyvgvrf,TJ,2.54,3.0,47.9
Bond-1540,Fvanapvny,TG,1.45,6.0,104.9
Bond-1541,Fvanapvny,TG,2.65,13.0,613.2
Bond-1542,Fvanapvny,TG,2.3,11.0,327.1
Bond-1543,Fvanapvny,TG,5.46,11.0,433.8
Bond-1544,Fvanapvny,TG,1.61,5.0,93.2
Bond-1545,Fvanapvny,TG,4.48,10.0,433.7
Bond-1546,Ovy_naq_Gnf,TG,3.16,9.0,176.5
Bond-1547,Ovy_naq_Gnf,TG,1.38,9.0,183.9
Bond-1548,Ovy_naq_Gnf,TG,5.27,9.0,290.8
Bond-1549,Ovy_naq_Gnf,TG,4.07,9.0,283.0
Bond-1550,Ovy_naq_Gnf,TG,7.4,9.0,312.0
Bond-1551,Sbirervta,TG,1.44,4.0,55.5
Bond-1552,Sbirervta,TG,5.84,4.0,99.4
Bond-1553,Fvanapvny,TU,2.07,11.0,159.2
Bond-1554,Ovy_naq_Gnf,TU,12.52,11.0,351.0
Bond-1555,Ovy_naq_Gnf,TU,1.48,11.0,110.5
Bond-1556,Ovy_naq_Gnf,TU,2.41,11.0,129.2
Bond-1557,Ovy_naq_Gnf,TU,4.05,10.0,207.4
Bond-1558,Ovy_naq_Gnf,TU,5.57,11.0,234.9
Bond-1559,Ovy_naq_Gnf,TU,7.5,10.0,262.0
Bond-1560,Ovy_naq_Gnf,TU,14.31,11.0,353.9
Bond-1561,Ovy_naq_Gnf,TU,14.37,10.0,361.4
Bond-1562,Ovy_naq_Gnf,TU,6.04,10.0,256.1
Bond-1563,Ovy_naq_Gnf,TU,4.31,9.0,219.2
Bond-1564,Ovy_naq_Gnf,TU,5.01,9.0,239.1
Bond-1565,Ovy_naq_Gnf,TU,7.99,9.0,245.5
Bond-1566,Sbirervta,TU,3.67,10.0,221.1
Bond-1567,Sbirervta,TU,4.29,10.0,134.3
Bond-1568,Sbirervta,TU,15.51,10.0,165.3
Bond-1569,Sbirervta,TU,14.68,10.0,223.3
Bond-1570,TMT,YO,2.25,17.0,811.6
Bond-1571,Sbirervta,YT,1.57,17.0,1903.8
Bond-1572,Sbirervta,YT,1.13,17.0,2118.8
Bond-1573,Sbirervta,YT,2.1,17.0,1829.4
Bond-1574,Sbirervta,YT,3.63,17.0,1467.7
Bond-1575,Sbirervta,YT,3.78,17.0,1471.5
Bond-1576,Sbirervta,YT,4.28,17.0,1406.9
Bond-1577,Sbirervta,YT,4.75,17.0,1311.3
Bond-1578,Sbirervta,YT,5.07,17.0,1304.6
Bond-1579,Sbirervta,YT,3.0,17.0,1595.9
Bond-1580,Sbirervta,YT,2.82,17.0,1683.9
Bond-1581,Sbirervta,YT,5.92,17.0,1301.1
Bond-1582,Sbirervta,YT,5.43,17.0,1357.8
Bond-1583,Cbafhzre,YK,2.8,11.0,248.6
Bond-1584,Sbirervta,YK,1.28,6.0,30.6
Bond-1585,Mrgnyf_naq_Mvavat,DB,3.17,11.0,274.6
Bond-1586,Mrgnyf_naq_Mvavat,DB,4.44,11.0,291.6
Bond-1587,Mrgnyf_naq_Mvavat,DB,12.66,11.0,396.0
Bond-1588,Sbirervta,DB,2.07,10.0,156.4
Bond-1589,Sbirervta,DB,13.62,10.0,288.4
Bond-1590,Cbafhzre,DM,2.69,16.0,1022.3
Bond-1591,Fvanapvny,DS,2.65,15.0,525.3
Bond-1592,Fvanapvny,DS,1.19,16.0,1150.3
Bond-1593,Mrgnyf_naq_Mvavat,DS,2.61,16.0,1863.1
Bond-1594,Sbirervta,DS,2.02,16.0,372.8
Bond-1595,Sbirervta,DS,2.34,16.0,410.0
